track,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
I Like Me Better,0.535,0.752,0.505,0.104,-7.621,0.253,91.97,0.419
Beautiful People (feat. Khalid),0.124,0.64,0.648,0.0802,-8.113,0.187,92.977,0.548
Sucker,0.0427,0.842,0.734,0.106,-5.065,0.0588,137.958,0.952
Youngblood,0.0169,0.596,0.854,0.124,-5.114,0.463,120.274,0.152
Without Me,0.297,0.752,0.488,0.0936,-7.05,0.0705,136.041,0.533
Beautiful (feat. Camila Cabello),0.346,0.638,0.717,0.105,-4.722,0.0337,100.027,0.249
The Middle,0.171,0.753,0.657,0.112,-3.061,0.0449,107.01,0.437
Happier,0.191,0.687,0.792,0.167,-2.749,0.0452,100.015,0.671
"thank u, next",0.229,0.717,0.653,0.101,-5.634,0.0658,106.966,0.412
Someone You Loved,0.751,0.501,0.405,0.105,-5.679,0.0319,109.891,0.446
"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.0337,0.663,0.708,0.0841,-4.154,0.0473,103.073,0.742
Tequila,0.0292,0.474,0.594,0.133,-5.756,0.0289,86.131,0.503
It's You,0.374,0.732,0.463,0.194,-6.972,0.0287,95.971,0.397
7 rings,0.592,0.778,0.317,0.0881,-10.732,0.334,140.048,0.327
Dancing With A Stranger (with Normani),0.45,0.741,0.52,0.222,-7.513,0.0656,102.998,0.347
Scars To Your Beautiful,0.0285,0.573,0.739,0.111,-5.74,0.129,97.085,0.451
Little Do You Know,0.746,0.5,0.292,0.188,-8.554,0.0323,145.879,0.37
You Need To Calm Down,0.00929,0.771,0.671,0.0637,-5.617,0.0553,85.026,0.714
Señorita,0.0392,0.759,0.548,0.0828,-6.049,0.029,116.967,0.749
The Bones,0.279,0.612,0.57,0.0963,-6.642,0.0347,77.004,0.335
Say You Won't Let Go,0.695,0.358,0.557,0.0902,-7.398,0.059,85.043,0.494
Circles,0.192,0.695,0.762,0.0863,-3.497,0.0395,120.042,0.553
Blank Space,0.085,0.752,0.678,0.13,-5.421,0.0646,96.009,0.583
"Sit Still, Look Pretty",0.141,0.657,0.739,0.178,-4.081,0.274,181.994,0.543
Girls Like You (feat. Cardi B),0.568,0.851,0.541,0.13,-6.825,0.0505,124.959,0.448
Stereo Hearts (feat. Adam Levine),0.0319,0.646,0.795,0.267,-3.293,0.0976,89.99,0.796
Trampoline (with ZAYN),0.56,0.619,0.459,0.137,-5.782,0.0334,126.803,0.498
Please Don't Go,0.0118,0.513,0.768,0.294,-4.868,0.0587,84.264,0.235
Treat You Better,0.106,0.444,0.819,0.107,-4.078,0.341,82.695,0.747
Starving,0.379,0.695,0.615,0.104,-4.194,0.104,99.817,0.532
Story of My Life,0.225,0.6,0.663,0.119,-5.802,0.0477,121.07,0.286
Meant to Be (feat. Florida Georgia Line),0.047,0.643,0.783,0.083,-6.458,0.0856,154.084,0.579
YOUTH,0.0625,0.628,0.737,0.0777,-4.437,0.041,91.507,0.592
Me And My Broken Heart,0.00489,0.545,0.783,0.132,-4.261,0.0345,174.084,0.551
Classic,0.0384,0.72,0.791,0.157,-4.689,0.124,102.071,0.756
Sorry Not Sorry,0.0237,0.705,0.64,0.262,-6.928,0.225,144.077,0.887
Sweet but Psycho,0.0691,0.719,0.704,0.166,-4.724,0.0476,133.002,0.628
Shout Out to My Ex,0.0239,0.773,0.747,0.11,-4.061,0.0889,126.014,0.8
Sunflower - Spider-Man: Into the Spider-Verse,0.556,0.76,0.479,0.0703,-5.574,0.0466,89.911,0.913
Delicate,0.216,0.75,0.404,0.0911,-10.178,0.0682,95.045,0.0499
There's Nothing Holdin' Me Back,0.38,0.866,0.813,0.0779,-4.063,0.0554,121.998,0.969
High Hopes,0.193,0.579,0.904,0.064,-2.729,0.0618,82.014,0.681
Drag Me Down,0.109,0.73,0.703,0.0657,-5.672,0.0369,138.113,0.595
Never Be the Same,0.181,0.637,0.713,0.137,-4.333,0.0747,129.923,0.243
One Thing Right,0.0667,0.659,0.623,0.582,-2.253,0.0451,88.042,0.439
I'll Be There,0.0288,0.627,0.858,0.199,-3.116,0.0394,100.074,0.399
Young Dumb & Broke,0.199,0.798,0.539,0.165,-6.351,0.0421,136.949,0.394
Mine,0.00265,0.624,0.757,0.189,-2.94,0.0296,121.07,0.658
What Makes You Beautiful,0.009,0.726,0.787,0.0596,-2.494,0.0737,124.99,0.888
no tears left to cry,0.04,0.699,0.713,0.294,-5.507,0.0594,121.993,0.354
Stay,0.253,0.69,0.622,0.116,-5.025,0.0622,102.04,0.544
1950,0.648,0.6,0.535,0.162,-7.043,0.107,71.912,0.269
Slow Hands,0.011,0.735,0.425,0.055,-6.648,0.0466,85.894,0.848
Good as Hell,0.256,0.682,0.919,0.442,-3.18,0.0875,95.982,0.535
when the party's over,0.978,0.367,0.111,0.0897,-14.084,0.0972,82.642,0.198
Closer,0.414,0.748,0.524,0.111,-5.599,0.0338,95.01,0.661
Best Part (feat. Daniel Caesar),0.795,0.473,0.371,0.109,-10.219,0.0405,75.208,0.413
Fight Song,0.0549,0.564,0.714,0.155,-4.987,0.129,175.924,0.33
Attention,0.109,0.775,0.613,0.134,-4.586,0.0542,100.066,0.797
Don't Call Me Up,0.296,0.674,0.881,0.0793,-2.853,0.147,98.994,0.234
Dancing On My Own,0.839,0.682,0.173,0.0983,-8.749,0.0314,112.663,0.236
PILLOWTALK,0.117,0.584,0.7,0.0939,-4.275,0.0456,124.944,0.438
Shallow,0.371,0.572,0.385,0.231,-6.362,0.0308,95.799,0.323
Lost Boy,0.965,0.71,0.0565,0.0889,-15.099,0.0534,123.994,0.348
Baby,0.0401,0.728,0.86,0.111,-5.237,0.137,65.043,0.535
Payphone,0.0136,0.739,0.756,0.37,-4.828,0.0394,110.028,0.523
Tonight Tonight,0.0764,0.686,0.783,0.163,-4.977,0.119,99.978,0.814
Mine,0.0161,0.71,0.789,0.451,-3.874,0.0722,142.929,0.717
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,0.325,-8.374,0.0585,117.973,0.0862
