track,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
MIDDLE CHILD,0.149,0.837,0.364,0.271,-11.713,0.276,123.984,0.463
Vertigo,0.552,0.487,0.458,0.117,-7.761,0.0371,115.989,0.207
Sandstorm (feat. JID),0.59,0.637,0.512,0.0712,-10.027,0.0978,109.492,0.33
Hard Place,0.179,0.614,0.719,0.163,-4.694,0.0955,160.075,0.34
Groceries,0.131,0.686,0.539,0.116,-8.623,0.0349,115.987,0.186
Talk,0.0501,0.9,0.4,0.0876,-8.443,0.124,136.001,0.338
bury a friend,0.74,0.905,0.389,0.106,-14.505,0.332,120.046,0.196
Almost (Sweet Music),0.021,0.427,0.689,0.203,-5.589,0.135,88.875,0.706
Chateau,0.658,0.661,0.585,0.102,-11.255,0.0367,129.98,0.606
Someday - triple j Like A Version,0.454,0.567,0.235,0.0938,-13.57,0.0322,81.678,0.265
151 Rum,0.155,0.756,0.867,0.33,-3.626,0.162,129.983,0.666
Dreams - 2004 Remaster,0.0644,0.828,0.492,0.128,-9.744,0.0276,120.151,0.789
Life Itself,0.0147,0.699,0.67,0.356,-6.219,0.0347,111.988,0.556
Changing of the Seasons,5.18e-05,0.544,0.865,0.116,-4.644,0.137,130.014,0.593
Weekend Friend,0.032,0.409,0.594,0.0904,-9.725,0.031,110.187,0.212
Let Me Down Easy,0.22,0.672,0.899,0.142,-6.878,0.0323,139.01,0.927
Truth Hurts,0.11,0.715,0.624,0.123,-3.046,0.114,158.087,0.412
BROWN SKIN GIRL,0.049,0.603,0.602,0.279,-7.083,0.23,119.703,0.595
Someday,0.00425,0.538,0.52,0.367,-7.46,0.0299,106.031,0.678
Everywhere - 2017 Remaster,0.258,0.73,0.487,0.0852,-10.991,0.0303,114.965,0.731
Nice For What,0.0891,0.586,0.909,0.119,-6.474,0.0705,93.394,0.757
Pink + White,0.67,0.544,0.552,0.415,-7.45,0.0991,159.738,0.554
Way Down,0.0936,0.703,0.788,0.091,-4.485,0.0812,100.06,0.538
How Do You Sleep?,0.153,0.477,0.682,0.0763,-4.931,0.0925,110.567,0.345
In the Air,0.175,0.414,0.73,0.242,-5.393,0.0315,144.032,0.422
Curls,0.879,0.497,0.348,0.722,-10.593,0.0285,82.176,0.227
The King of Wishful Thinking,0.033,0.669,0.868,0.0991,-7.377,0.0527,107.885,0.913
Off Deez (with J. Cole),0.00207,0.836,0.579,0.11,-6.164,0.243,85.486,0.431
XO,0.171,0.47,0.792,0.313,-8.932,0.26,170.085,0.214
So Close,0.121,0.7,0.872,0.103,-5.896,0.0666,125.03,0.761
Treat You Better,0.356,0.599,0.539,0.102,-5.897,0.034,121.947,0.188
Leave Me Lonely,0.279,0.764,0.868,0.175,-5.827,0.0505,131.031,0.754
Vossi Bop,0.13,0.682,0.653,0.129,-6.062,0.339,188.115,0.428
Circles,0.192,0.695,0.762,0.0863,-3.497,0.0395,120.042,0.553
