track,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
Autumn Leaves - Deluxe Edition,0.892,0.555,0.257,0.124,-12.637,0.0299,89.013,0.431
I'm Not The Only One,0.562,0.515,0.494,0.0771,-5.78,0.0416,81.329,0.474
If I Ever Feel Better,0.0492,0.755,0.553,0.0646,-9.449,0.107,119.7,0.836
Electric Love,0.00448,0.621,0.853,0.236,-6.537,0.0615,120.017,0.65
lovers’ carvings,0.68,0.558,0.47,0.532,-5.5,0.0316,118.06,0.427
You’re Not The One,0.00215,0.468,0.966,0.132,-3.468,0.0557,92.002,0.8
#88,0.399,0.543,0.338,0.0812,-9.674,0.0586,135.097,0.395
Hold Back The River,0.0654,0.725,0.716,0.102,-7.364,0.114,134.95,0.518
Warm Foothills,0.913,0.274,0.209,0.0978,-16.158,0.0411,92.997,0.0661
Gold on the Ceiling,0.00772,0.505,0.833,0.069,-4.632,0.0475,130.121,0.565
Oblivion,0.115,0.697,0.529,0.0895,-8.838,0.0338,155.974,0.486
505,0.00237,0.52,0.852,0.0733,-5.866,0.0543,140.267,0.234
Oceans (Where Feet May Fail),0.508,0.262,0.361,0.108,-10.187,0.0333,126.786,0.056
Mr Quiche,0.539,0.501,0.635,0.173,-6.699,0.0383,79.974,0.141
Repeat Pleasure,0.438,0.684,0.489,0.116,-8.155,0.0544,124.993,0.279
One More (feat. MØ),0.00182,0.601,0.518,0.0924,-7.452,0.129,183.941,0.321
Thinking out Loud,0.474,0.781,0.445,0.184,-6.061,0.0295,78.998,0.591
Stay With Me,0.559,0.416,0.43,0.11,-6.516,0.0408,84.406,0.177
When We're Fire,0.176,0.75,0.54,0.0926,-8.967,0.051,100.429,0.184
Every Other Freckle,0.614,0.543,0.707,0.118,-7.636,0.07,143.915,0.515
I Blame Myself,0.35,0.692,0.739,0.32,-4.122,0.0374,115.014,0.819
Purple Yellow Red and Blue,0.0351,0.601,0.859,0.144,-6.311,0.0397,101.003,0.431
Where Are You Now,0.633,0.509,0.349,0.0877,-10.093,0.0411,84.303,0.106
Creep in a T-Shirt,0.0222,0.595,0.841,0.175,-7.443,0.0312,129.992,0.579
First Day Of My Life,0.915,0.468,0.201,0.0952,-17.024,0.0388,94.422,0.383
The Girl,0.936,0.499,0.159,0.118,-16.154,0.0337,77.691,0.303
The Sun,0.513,0.572,0.648,0.112,-6.015,0.0361,153.869,0.535
Beautiful Girl,0.861,0.645,0.17,0.113,-17.377,0.0408,110.573,0.329
Left Hand Free,0.462,0.697,0.877,0.083,-4.465,0.0462,101.99,0.802
Awake My Soul,0.0621,0.262,0.466,0.0913,-9.785,0.0341,85.522,0.254
Leave Your Lover,0.945,0.377,0.255,0.104,-8.739,0.0563,77.205,0.393
Waiting Game,0.658,0.334,0.397,0.136,-10.313,0.0328,129.127,0.225
The Mother We Share,0.0347,0.452,0.716,0.294,-5.141,0.0313,174.037,0.317
Kiss Me,0.64,0.589,0.227,0.0248,-16.67,0.0498,74.993,0.182
Genesis,0.0764,0.611,0.677,0.241,-6.745,0.034,166.04,0.233
We Don't Eat,0.91,0.432,0.372,0.121,-12.494,0.0481,124.019,0.373
Big Black Car,0.897,0.572,0.183,0.103,-16.069,0.0323,110.029,0.404
Don't Wanna Dance,0.386,0.674,0.822,0.15,-4.247,0.0482,130.002,0.727
I'd Rather Be with You,0.0833,0.601,0.486,0.136,-12.301,0.0344,81.461,0.253
Lovers' Eyes,0.0303,0.413,0.346,0.0966,-9.491,0.029,76.498,0.273
Skinny Love,0.843,0.565,0.257,0.109,-14.04,0.0579,76.493,0.111
Atomic Man,0.0507,0.63,0.736,0.109,-7.302,0.0384,137.948,0.919
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0.771,0.315,0.296,0.702,-13.262,0.0317,172.638,0.436
Hip Hop Kids,0.0108,0.433,0.782,0.38,-6.359,0.0363,94.995,0.498
Broken Brights,0.664,0.689,0.324,0.0967,-11.636,0.0293,160.08,0.441
XO,0.749,0.431,0.377,0.211,-9.753,0.0288,173.67,0.353
Like Real People Do,0.889,0.584,0.168,0.121,-13.406,0.0283,140.052,0.157
Out Of Mind,0.00164,0.698,0.772,0.673,-4.713,0.0493,130.071,0.712
Slow Dancing in a Burning Room,0.573,0.668,0.361,0.0805,-8.69,0.0273,134.15,0.288
You & Me,0.436,0.652,0.627,0.0674,-7.313,0.0894,137.867,0.315
Wildfire,0.15,0.719,0.665,0.144,-8.589,0.0331,96.999,0.763
My My Love,0.889,0.511,0.13,0.107,-13.119,0.0386,155.158,0.432
Such Great Heights,0.808,0.61,0.275,0.403,-10.644,0.028,94.088,0.552
Flaws,0.405,0.57,0.657,0.0723,-6.987,0.0356,144.247,0.41
All I Want,0.172,0.209,0.412,0.0843,-9.733,0.0443,86.26,0.162
Only You,0.362,0.545,0.255,0.0841,-14.844,0.0311,98.088,0.831
Hunger Of The Pine,0.785,0.6,0.413,0.109,-9.572,0.0258,93.618,0.0741
Cherry Wine - Live,0.957,0.504,0.0768,0.0928,-17.099,0.0378,130.654,0.245
Got It All (This Can't Be Living Now),0.195,0.427,0.919,0.0886,-4.121,0.0601,151.084,0.385
Let Her Go,0.365,0.479,0.545,0.0963,-7.346,0.0688,74.897,0.244
XO,0.171,0.47,0.792,0.313,-8.932,0.26,170.085,0.214
Falling,0.076,0.741,0.894,0.0835,-5.648,0.069,111.969,0.297
All of Me,0.922,0.422,0.264,0.132,-7.064,0.0322,119.93,0.331
Latch - Acoustic,0.977,0.389,0.294,0.107,-5.429,0.0277,88.636,0.243
How Long Will I Love You - Bonus Track,0.219,0.51,0.305,0.118,-9.132,0.0317,126.075,0.162
She Is Love,0.616,0.629,0.174,0.118,-9.697,0.141,134.295,0.305
